"Omega[cdm]","h","sigma[8]","omega[b]","n[s]","w[0]","des"
0.5,0.561290335,0.7741938,0.02225806,0.8709678,-1.203226,1
0.3064516,0.8774194,0.8709678,0.020645161,0.9870968,-1.26129034,1
0.267742,0.68548395,0.63870966,0.02741935,1,-1.0096774,1
0.11290324,0.71935485,0.8322582,0.02612903,0.851613,-0.9322582,1
0.2548388,0.77580635,0.7935486,0.03,0.9354838,-1.1258062,1
0.2290324,0.6064515,1.1419356,0.02193548,0.9935484,-0.8354836,1
0.4741936,0.79838695,0.7354836,0.02870968,0.9741936,-0.8935486,1
0.396774,0.58387097,0.6,0.020967742,0.9419354,-0.951613,1
0.2806452,0.8548388,1.0838712,0.02354839,0.9096774,-0.9129034,1
0.435484,0.64032275,0.6774192,0.02322581,0.8451612,-1.3,1
0.1516128,0.6177418,0.948387,0.0283871,0.9032258,-1.28064514,1
0.2161292,0.74193545,0.696774,0.020322581,0.916129,-0.7580644,1
0.3580644,0.6290321,0.8129034,0.02483871,0.9612904,-0.7774192,1
0.4612904,0.66290335,1.1806452,0.02580645,0.9225806,-1.1838712,1
0.1774192,0.9,0.754839,0.02451613,0.81935484,-0.9709678,1
0.1903224,0.69677425,0.9096774,0.02290323,0.967742,-1.145161,1
0.4096776,0.75322575,0.8903226,0.02709677,0.832258,-0.854839,1
0.4225808,0.55,1.045161,0.02548387,0.9806452,-1.0290322,1
0.13870968,0.78709665,0.61935486,0.02419355,0.8774194,-0.8161288,1
0.2419356,0.8209679,0.9870966,0.02516129,0.8387096,-1.2225808,1
0.3838708,0.70806455,1.103226,0.02967742,0.883871,-1.24193548,1
0.4483872,0.8322582,0.851613,0.0216129,0.8967742,-0.7193548,1
0.164516,0.80967725,1.1225808,0.02677419,0.9548388,-0.7,1
0.3193548,0.5951612,0.7161288,0.02645161,0.8903226,-1.0870966,1
0.203226,0.8661291,1.2,0.02903226,0.8580646,-1.048387,1
0.12580644,0.65161305,1.0645164,0.02129032,0.8258064,-1.1064514,1
0.3709676,0.8435485,0.65806452,0.02806452,0.80645162,-1.1645164,1
0.3451612,0.67419365,1.0064514,0.02,0.8645162,-0.8741938,1
0.4870968,0.73064515,0.9677418,0.02387097,0.948387,-1.0677418,1
0.332258,0.76451605,1.1612904,0.02258065,0.8,-0.9903226,1
0.2935484,0.572580635,0.9290322,0.02935484,0.81290322,-0.7387096,1
0.1,0.8887097,1.0258062,0.02774194,0.9290322,-0.796774,1
0.13870968,0.8548388,0.7741938,0.02258065,0.9935484,-1.2225808,2
0.267742,0.74193545,0.7935486,0.02870968,0.8,-0.854839,2
0.3193548,0.66290335,1.2,0.02612903,0.916129,-0.7580644,2
0.2161292,0.55,1.045161,0.02322581,0.8580646,-1.0677418,2
0.4870968,0.68548395,1.1419356,0.02290323,0.8967742,-0.8741938,2
0.1903224,0.6064515,0.851613,0.020967742,0.8903226,-0.9903226,2
0.2548388,0.8887097,0.9677418,0.02451613,0.9548388,-0.7,2
0.1516128,0.69677425,0.6774192,0.02516129,0.81290322,-1.0290322,2
0.1774192,0.79838695,1.0645164,0.02580645,0.967742,-0.8354836,2
0.2935484,0.58387097,0.696774,0.020322581,0.9806452,-0.8935486,2
0.3580644,0.6290321,0.61935486,0.02806452,0.9612904,-1.048387,2
0.12580644,0.64032275,0.9870966,0.03,0.8709678,-0.9129034,2
0.3709676,0.77580635,0.9096774,0.020645161,0.8258064,-0.7387096,2
0.396774,0.6177418,1.0838712,0.02225806,0.9225806,-1.28064514,2
0.1,0.71935485,0.8709678,0.02354839,0.948387,-0.796774,2
0.164516,0.572580635,1.1612904,0.0283871,0.9354838,-1.1838712,2
0.435484,0.8774194,0.63870966,0.0216129,0.8645162,-0.8161288,2
0.5,0.73064515,0.9290322,0.02645161,0.851613,-1.203226,2
0.203226,0.8322582,0.7161288,0.02774194,0.8774194,-0.7193548,2
0.2290324,0.67419365,0.8903226,0.02935484,0.9741936,-1.26129034,2
0.4741936,0.80967725,0.8129034,0.02,0.9290322,-1.0870966,2
0.2419356,0.8209679,1.1806452,0.02193548,0.8387096,-0.951613,2
0.3064516,0.8661291,1.103226,0.02967742,0.81935484,-1.1064514,2
0.4225808,0.65161305,0.7354836,0.02419355,0.832258,-1.1645164,2
0.4483872,0.75322575,1.1225808,0.02483871,0.9870968,-0.9709678,2
0.3451612,0.561290335,0.8322582,0.02548387,0.8451612,-1.3,2
0.4096776,0.8435485,0.948387,0.02903226,0.9096774,-1.0096774,2
0.11290324,0.76451605,0.65806452,0.02709677,0.9032258,-1.1258062,2
0.3838708,0.9,0.754839,0.02677419,0.9419354,-0.9322582,2
0.2806452,0.78709665,0.6,0.02387097,0.883871,-1.24193548,2
0.332258,0.70806455,1.0064514,0.02129032,1,-1.145161,2
0.4612904,0.5951612,1.0258062,0.02741935,0.80645162,-0.7774192,2
