"M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012","M013","M014","M015","M016","M017","M018","M019","M020","M021","M022","M023","M024","M025","M026","M027","M028","M029","M030","M031","M032","M033","M034","M035","M036","M037","M038","M039","M040","M041","M042","M043","M044","M045","M046","M047","M048","M049","M050","M051","M052","M053","M054","M055","M056","M057","M058","M059","M060","M061","M062","M063","M064","M065","M066","M067","M068","M069","M070","M071","M072","M073","M074","M075","M076","M077","M078","M079","M080","M081","M082","M083","M084","M085","M086","M087","M088","M089","M090","M091","M092","M093","M094","M095","M096","M097","M098","M099","M100","M101","M102","M103","M104","M105","M106","M107","M108","M109","M110","M111"
-1.12734015892266,-1.56219530409812,-1.47039212522729,-1.01658050970201,-1.77750029220486,-1.20680504119457,-1.88115878469445,-1.51119995780099,-1.35744213818541,-1.55366245454093,-1.18860418476595,-1.38440590941661,-1.3712929335025,-1.26436748039783,-1.04406033875276,-1.56859708310337,-1.63479249499344,-1.17290431654607,-1.47859283838586,-1.57255032154507,-1.53239126829927,-1.39658390301371,-1.57379805423088,-1.27692697585218,-0.970140467440929,-1.13167905019757,-1.24847316514571,-0.968183592409475,-0.898925303196618,-1.17172355400088,-1.47796993067261,-1.60475155315826,-1.52663286513254,-1.30680791318005,-1.4376602050552,-1.04985858378657,-1.32046797521605,-1.42144056626277,-1.29456778241856,-1.61791342184698,-1.42476600963282,-0.824237691103878,-1.65212579776404,-1.355213602278,-1.30153598290903,-1.70453683257083,-1.30309137662384,-1.25587415639035,-1.47917591031012,-0.83281825752285,-1.40430662768994,-1.65271894219461,-1.57194330919109,-1.02409297657638,-1.14197477904943,-1.31857891257574,-1.58591099782899,-1.36043573591334,-1.39348085055651,-0.784998817926602,-1.28989339448855,-0.928805131331148,-1.28768500994547,-1.38790025712411,-1.16555462444201,-1.32132546595135,-1.57413313319989,-1.3974198567653,-1.12005979600748,-1.41827498233182,-1.27805421129712,-1.18640320237596,-0.922414151467872,-1.00185695759074,-1.35021240750374,-1.31743528104337,-1.45795624977689,-1.538263139227,-1.28591144247792,-1.50657700055919,-1.04381245525878,-1.68288365880274,-1.52842904193761,-1.43126722851338,-1.43794885394343,-1.10710266000875,-1.43955339339211,-0.98990213240718,-1.21770188543725,-1.27342144323915,-1.33881889071868,-1.2748500027603,-1.40292877464798,-1.06306759439253,-1.30061539789362,-1.70670403682462,-1.1902878258107,-1.25543378176024,-1.07319112169228,-0.937485158853145,-1.49719743127376,-1.63281339739281,-1.2613564992913,-1.7777254584572,-1.3982548066512,-0.98718321360264,-1.57827610188303,-1.39872474761511,-1.28979699547306,-1.306199549871,-1.2077170534297
-1.06390731646663,-1.49013214570738,-1.39685386483907,-0.948920423881783,-1.70051606061394,-1.1350098756302,-1.80324073672294,-1.43750204131617,-1.28570895805374,-1.4786117942423,-1.11983188928705,-1.31078697284965,-1.3016927690108,-1.18904977869426,-0.972691885817139,-1.49625653274222,-1.55738348046647,-1.10980864917854,-1.40132723245312,-1.49537671652912,-1.4565382208103,-1.32507166850675,-1.49950460217907,-1.21476980350922,-0.896222649490129,-1.06539778471663,-1.17778107149879,-0.899543155664235,-0.837919970277205,-1.09967580981887,-1.40380515090426,-1.52783201786853,-1.44889080630215,-1.23414972969249,-1.36094064053466,-0.986274438160527,-1.24773486389942,-1.34819940827604,-1.22518216995082,-1.54387795259571,-1.35118298651205,-0.759223144165812,-1.57747095039317,-1.27902542035833,-1.23175087873928,-1.6261689996288,-1.24149488012764,-1.1834442999141,-1.40252183122273,-0.776908570295965,-1.33552006159009,-1.57567565898312,-1.49468959312706,-0.95276396982684,-1.07832104658434,-1.25146210967021,-1.50909647578349,-1.28370020691773,-1.32077300911589,-0.71463041838803,-1.21657641067851,-0.864990143229207,-1.21556458148406,-1.31550575577572,-1.09038223597194,-1.25016377293093,-1.49903883049488,-1.32699983309161,-1.04972093058775,-1.34348817083493,-1.21517446085527,-1.11295821615512,-0.86067510955911,-0.940234594840399,-1.28325192440252,-1.24323216394909,-1.38709784940435,-1.46737626585158,-1.2116232540261,-1.43138296259052,-0.982598285114477,-1.60716570559337,-1.45260534788397,-1.35674079982855,-1.36651156412177,-1.0401972414189,-1.36644838678599,-0.920240440708354,-1.14742610449341,-1.19937073947383,-1.26442200578475,-1.2101465409202,-1.32876908869113,-0.998661441776681,-1.22927466434602,-1.62765226766589,-1.12528565970592,-1.18470512845738,-0.997392152976936,-0.865737224178873,-1.42528661165823,-1.55697004825475,-1.19184434259106,-1.70118704035474,-1.32422364757416,-0.920366272105511,-1.50430724533117,-1.32743779686362,-1.21558060396104,-1.23146315122043,-1.13314722241948
-0.999275662990129,-1.41671197299984,-1.32203489881598,-0.879856267724724,-1.62220329551466,-1.06158063320318,-1.72396638898432,-1.36202048884628,-1.21261288342579,-1.40172647844754,-1.04981826531999,-1.23558225450267,-1.23035176146698,-1.11214088481127,-0.899709946689997,-1.42236568755493,-1.47836020804497,-1.04519263791229,-1.32246666006184,-1.4169258934392,-1.37938132344307,-1.25207809002796,-1.42402298327153,-1.15119332549822,-0.820569577776858,-0.997548241563899,-1.1057233124442,-0.829116052870846,-0.774750857570217,-1.02604037796937,-1.32803915522288,-1.44968619799169,-1.36964635935627,-1.16009403115961,-1.28307650010982,-0.921528282182677,-1.17368861952222,-1.27332850644103,-1.15442114783967,-1.46845958569932,-1.27563549708688,-0.692427245491061,-1.50094328778865,-1.20156123747371,-1.16036967488855,-1.54642572476246,-1.17842675099466,-1.10946077546314,-1.32467255281741,-0.719729522361638,-1.26551502008453,-1.49739324103782,-1.41557454469588,-0.879723461142655,-1.01289877593677,-1.18323518205192,-1.43023708581218,-1.20525854387695,-1.24638090068334,-0.642152511168524,-1.1415797754668,-0.799680219080664,-1.14167903549034,-1.24160862500627,-1.01389212847245,-1.17748988162998,-1.42239464608209,-1.25457134787066,-0.977900776547536,-1.26707920933892,-1.15058607687379,-1.03787759066596,-0.797109965297528,-0.876981300819011,-1.21516637808941,-1.16745045406572,-1.31484308157925,-1.39517389788404,-1.13604346652184,-1.35505186016828,-0.919705632859448,-1.53029893230756,-1.37508955697338,-1.28095623181306,-1.29286523208786,-0.971765757293076,-1.29174635528337,-0.849067100628029,-1.07593720066113,-1.12361573881581,-1.18868078519391,-1.1439608893766,-1.25292386050062,-0.932318089710818,-1.15668188549157,-1.54750208243167,-1.05855484091011,-1.11218138904121,-0.919941894880749,-0.792092658551496,-1.3520223512694,-1.47984730170941,-1.12024618293594,-1.62338029592587,-1.24884378923822,-0.851822569621265,-1.42871954566278,-1.25419037077621,-1.14009644567461,-1.15474065194292,-1.0566702334883
-0.933715311092651,-1.34232446482523,-1.24617599645423,-0.809783128539081,-1.5433036708343,-0.987138202637092,-1.64378368382086,-1.28583719455005,-1.13859972004263,-1.32413179533692,-0.979175453120618,-1.15986268136411,-1.15813266546826,-1.03430500016013,-0.826001993208106,-1.34751355200132,-1.3985047124607,-0.979492900164938,-1.24317002996236,-1.3377739506917,-1.30149433059104,-1.17798923737561,-1.34797825166874,-1.08695019142511,-0.744252553484146,-0.92865488329865,-1.03285407454786,-0.757801758317513,-0.710452935045204,-0.95152120646689,-1.25149416414754,-1.37075738540722,-1.28971832412157,-1.08542126030104,-1.20459328726888,-0.855794443280689,-1.09854555728666,-1.19760663034446,-1.08272990534906,-1.39204610963589,-1.19933529558137,-0.62464595803222,-1.42348806923767,-1.12315081262401,-1.0881094342754,-1.46594031256123,-1.11420211489481,-1.03483169603015,-1.2458663039703,-0.661550380340742,-1.19451118173827,-1.4181948044606,-1.3357423863555,-0.805823973643593,-0.946937119086347,-1.11407267960629,-1.35086213438659,-1.12579956923389,-1.17116519163598,-0.568673188949355,-1.06601663709002,-0.73377638459729,-1.06688789860195,-1.16680337175921,-0.936625067880614,-1.10405743327476,-1.34451320847146,-1.18110068836883,-0.905292963485487,-1.18990728562047,-1.08504374932812,-0.9618712762229,-0.732665851066025,-0.812826759482111,-1.14617168327341,-1.09064350567934,-1.24159393828095,-1.32189446917718,-1.05960674338636,-1.27817944210682,-0.855768747106997,-1.452648768322,-1.29666245730261,-1.20416301614552,-1.21835474763754,-0.902298823097553,-1.21583877902789,-0.777105289461387,-1.00332468018183,-1.04709560206503,-1.11213822943148,-1.07696316403807,-1.17620768193836,-0.865138993916642,-1.08317765787783,-1.46668392168046,-0.990775136792122,-1.03898052061488,-0.841685444446359,-0.717713888642739,-1.27781185006498,-1.40182446993694,-1.04762704307254,-1.54469551807035,-1.17248071054043,-0.781959198177146,-1.35203851840759,-1.18000118682971,-1.06363664681464,-1.07715758113854,-0.979766584580616
-0.868822417504654,-1.26883988463779,-1.17134761598775,-0.740688641469889,-1.46579830975639,-0.913739486021752,-1.56489753821402,-1.21080678634344,-1.06570742736858,-1.24804247888292,-0.909407481124507,-1.08573909975136,-1.08719561521614,-0.957854997298141,-0.753499352197299,-1.27367724463964,-1.31990694442422,-0.914568446142453,-1.16517351786294,-1.25985095007817,-1.22486470843044,-1.1046484363373,-1.27298295834339,-1.0237390671324,-0.669326893043061,-0.860405725247349,-0.960909501856134,-0.687638565939121,-0.646773350609787,-0.878184280810754,-1.17618206392728,-1.29293505549052,-1.21102583009542,-1.01188175262738,-1.12736004404642,-0.790853838991734,-1.02453363750282,-1.12296134243574,-1.01177354596981,-1.31672710727466,-1.12426409614592,-0.55775550058612,-1.34730786246968,-1.04588977336862,-1.01694430997684,-1.38675336255299,-1.05048631479821,-0.961446215438814,-1.16814032560156,-0.604024962795691,-1.12444273489832,-1.34019239072109,-1.25756557899818,-0.733031871607844,-0.882069475447424,-1.04576522629311,-1.27301491580778,-1.04770243635715,-1.09698690646436,-0.496544224008661,-0.991946451120403,-0.669115908746108,-0.993221015744093,-1.09311989322214,-0.860516996126572,-1.03171583479033,-1.26775768593082,-1.10864609494064,-0.833641389553182,-1.11411392969472,-1.02052106799133,-0.887092025938046,-0.669163436271685,-0.749675229937809,-1.07806173402965,-1.01499727538724,-1.16933658365914,-1.24959883293448,-0.984297937689595,-1.20258082128262,-0.792748052020659,-1.37582475611782,-1.21944947773278,-1.12847503038468,-1.14537269408128,-0.833555778084213,-1.14092872608472,-0.706412745056981,-0.931572361561653,-0.971806508035875,-1.03679635850186,-1.01100236313789,-1.10075748678247,-0.79927032653132,-1.01062109428548,-1.38705215459207,-0.923954792939176,-0.966989046202116,-0.764870959030084,-0.644738668094433,-1.20475695399504,-1.32491087437231,-0.976031272533296,-1.4672414122278,-1.09706557037525,-0.712860829627028,-1.2763601018915,-1.10686971407679,-0.988161932181739,-1.00106872398341,-0.90425973981612
-0.80378271869288,-1.19511004052271,-1.09655287399547,-0.671680074927238,-1.38829890425256,-0.84035778237052,-1.4861433770764,-1.13565300894751,-0.992860223064511,-1.17222009101073,-0.839486282448601,-1.01180345539613,-1.01633502500052,-0.881672403731858,-0.68126776795376,-1.19983619447707,-1.24164981326346,-0.849534070575819,-1.08729811186886,-1.18191695100078,-1.14827369310725,-1.03113371453451,-1.19771300704817,-0.960395059770031,-0.594644199301969,-0.79183143425876,-0.888878329800417,-0.617458074811694,-0.582885840049447,-0.80492804189537,-1.10098504653379,-1.21523227246053,-1.13228514847482,-0.93834517963479,-1.05026809668427,-0.725736803454585,-0.950600440214159,-1.04823378701157,-0.940649200580159,-1.24147791622287,-1.04931050587642,-0.490852707203878,-1.2711353293506,-0.968623407970972,-0.945783301105693,-1.30791888944006,-0.986567477612665,-0.888364583192352,-1.09073680749147,-0.546375123698381,-1.05431219138555,-1.26236335020949,-1.17978556235462,-0.660341005365948,-0.817235282635985,-0.977226992720131,-1.19527715918873,-0.969920072250629,-1.02294871927756,-0.424599044433401,-0.917978356128124,-0.60441031145293,-0.919609209825436,-1.01936541389006,-0.784593218732997,-0.959447874463394,-1.19112667274331,-1.03620975681762,-0.761890536952164,-1.03830131076169,-0.956043659675564,-0.812580637793553,-0.605839371413935,-0.686493483487209,-1.00968128288662,-0.939571357426302,-1.09713168734702,-1.17737369684384,-0.909188609001389,-1.12706825393423,-0.729654284868291,-1.29876627546146,-1.14220981210072,-1.05300239967225,-1.07260774180472,-0.764622280553327,-1.06597146717453,-0.635912374519435,-0.859832333727408,-0.896633711325062,-0.961523841365026,-0.94475395055334,-1.02553019201478,-0.733438137707523,-0.93814379033681,-1.30740127110003,-0.857136798964717,-0.895017421823707,-0.688384039890345,-0.572022391634297,-1.13154373745538,-1.24815002720737,-0.904442126049564,-1.38980240501978,-1.02144425596828,-0.643707463768119,-1.20070576547406,-1.03374132394504,-0.912674995710513,-0.925328452850743,-0.82888187950736
-0.739131000551578,-1.121626815045,-1.02215657220056,-0.603144850169441,-1.31111109635022,-0.767357350656415,-1.40778493852018,-1.06080791448504,-0.920484453716969,-1.09694623304127,-0.770019906955978,-0.938643008064044,-0.945796918787604,-0.805832832757167,-0.609509435233438,-1.12627407136055,-1.16382437730457,-0.784646823681244,-1.00991224768679,-1.10446733981322,-1.07202084169045,-0.957878181146161,-1.12238709367721,-0.897215819832204,-0.52048466321797,-0.723504242868226,-0.817089957137981,-0.547475028261881,-0.519048570384208,-0.732051163489064,-1.0262062811023,-1.13805186628869,-1.0541385621997,-0.865368490916171,-0.973685536963349,-0.660858785372622,-0.877074215313167,-0.973574091995134,-0.869627023427852,-1.16676325673932,-0.974765172915952,-0.424297006067379,-1.1952576724204,-0.891812622657175,-0.874975709477944,-1.22949723359542,-0.922721346213497,-0.81569271082021,-1.01390706784216,-0.489219774428674,-0.984393462337864,-1.18512250221249,-1.10252395221376,-0.588256988352574,-0.75251786638875,-0.908851740562578,-1.11773646984278,-0.892504515965123,-0.94950720164438,-0.352966340172417,-0.844204161862864,-0.539806853437137,-0.846292432708689,-0.945763411035271,-0.709142351657607,-0.887538396703531,-1.11470245630944,-0.964162115825042,-0.690499826888198,-0.962733351507462,-0.891648328725186,-0.738652868105635,-0.542771627592341,-0.623606703970004,-0.941357773734485,-0.864564024922539,-1.02531422043874,-1.10550025525039,-0.834669080043114,-1.05203100845263,-0.66687971580087,-1.22197996990605,-1.06538682021687,-0.97786815501975,-0.99994054993004,-0.695863635913909,-0.991218847129603,-0.565784369216996,-0.78844944088319,-0.821945184343283,-0.88671144312315,-0.878495425952537,-0.950962796523442,-0.667700562795379,-0.866199345746279,-1.22831409129107,-0.790622590702118,-0.823417077442455,-0.612530248275516,-0.499863436526468,-1.05839333721281,-1.1717628873109,-0.832801145128132,-1.31274259790385,-0.946138102198792,-0.574765090327207,-1.12524614889395,-0.960892061720961,-0.83757945273305,-0.850064612827876,-0.753824387659808
-0.674837469579296,-1.04870872097335,-0.948519390093045,-0.535259082994872,-1.23480135615815,-0.694873331766172,-1.32988981045457,-0.986620208402915,-0.848800339029653,-1.02236341719742,-0.701226672504567,-0.866107293479079,-0.875796971956014,-0.73051775831293,-0.538537275982351,-1.05323024621809,-1.08667881347155,-0.720101772537477,-0.933263398410806,-1.02776907288101,-0.996519350985964,-0.885212962947513,-1.04786750521619,-0.834702646891077,-0.447049133058212,-0.655882141448453,-0.745801746020939,-0.477875037267302,-0.455439966222368,-0.660029899298265,-0.952004110769426,-1.06165321702621,-0.976812568411115,-0.793190886045034,-0.897766822989692,-0.59656199902614,-0.804198160661377,-0.89948454090896,-0.798838180450467,-1.09273994320299,-0.901123052022234,-0.358306587040919,-1.11998818335493,-0.815763975164237,-0.804848969486165,-1.15185998499401,-0.859202080631443,-0.743773993256758,-0.937728735250462,-0.432722431551012,-0.914938879203141,-1.10881913379972,-1.02607161679819,-0.516931459966353,-0.688059493986134,-0.840996530785122,-1.04093976117846,-0.815949621462789,-0.876777400412167,-0.281914686173217,-0.771273985838646,-0.475819547852558,-0.77355841611856,-0.872710322689552,-0.634248104786984,-0.81615309786316,-1.03880442898779,-0.892593318302878,-0.619673897311113,-0.887982814138009,-0.827443643447678,-0.665484687556127,-0.479975079337865,-0.561229803244947,-0.873557653537933,-0.790231860936375,-0.954187450976679,-1.03426783901381,-0.760907699532625,-0.977777582925393,-0.604583691476771,-1.14577006016227,-0.989217768213645,-0.903236742054531,-0.927747076028744,-0.627495377779274,-0.916928149847131,-0.496083981425401,-0.717693226222617,-0.748002712380983,-0.812671516136959,-0.812755956941558,-0.877140355994422,-0.602430870859798,-0.79493622430127,-1.1501498504834,-0.724532600145615,-0.752287366077907,-0.537414760750071,-0.428389653444953,-0.985925587159602,-1.09576945941085,-0.76168681135761,-1.23623524120783,-0.871557625068439,-0.506316652213412,-1.05017186980798,-0.888687393995456,-0.763096293979359,-0.775410066222209,-0.679308385908464
-0.610649310187488,-0.97600125578936,-0.875349076612157,-0.467728904564156,-1.15894944534142,-0.622668267364397,-1.25224859053745,-0.912565935289213,-0.777499556062206,-0.94827628838998,-0.632585485920461,-0.794004113716892,-0.805987153828399,-0.655530034830159,-0.468171051202913,-0.980446988224745,-1.01007590689251,-0.655713837666451,-0.857033478351978,-0.951245199112633,-0.921568268001205,-0.812816499365872,-0.973977725791857,-0.772465685178007,-0.374194845941767,-0.588767749472049,-0.674848588275818,-0.408700054326432,-0.391790269660649,-0.588504685891265,-0.878056301760685,-0.985727117122631,-0.899980409393971,-0.721512013475582,-0.822243382597734,-0.532591887397432,-0.731667369906525,-0.825908622811669,-0.728308714564808,-1.01898580783575,-0.8278352435651,-0.292439194008957,-1.04508142203764,-0.740214764272805,-0.735082036932413,-1.07481343210107,-0.795720171938725,-0.672384217190297,-0.8620259167843,-0.376007924710361,-0.845801716138499,-1.0330291750852,-0.949862760005832,-0.446025289075022,-0.623949453358044,-0.773343761543639,-0.964490339250625,-0.739910235482906,-0.804433479216324,-0.211346642613833,-0.699176832367499,-0.412208491866196,-0.701167795620821,-0.800100075180957,-0.55983920224718,-0.745175112730157,-0.963270024290605,-0.821242376832722,-0.549241659377385,-0.813705539224657,-0.763656330633638,-0.592738420858836,-0.4174535990931,-0.499127952574221,-0.805885285153791,-0.716344009394477,-0.883392543795761,-0.963290415146289,-0.687628060465349,-0.904006367360606,-0.542495930829677,-1.07000332205995,-0.913293428898267,-0.829071791576944,-0.85589231688722,-0.55942474055184,-0.842671526450702,-0.42657665899744,-0.64720725042925,-0.674467582316028,-0.73902092297189,-0.747334376719436,-0.803618147948053,-0.537425848669025,-0.723980380217555,-1.07258553371195,-0.658642342845632,-0.681559339352765,-0.462777466159196,-0.357266957921233,-0.913984379925736,-1.02005115146059,-0.69084657796291,-1.16005224977493,-0.797310941482072,-0.438109216175904,-0.975404295172074,-0.816828793704081,-0.688926515560318,-0.700910108772124,-0.605349704899986
-0.546028366900739,-0.902620943092238,-0.801970564183101,-0.399815705022862,-1.08274307477626,-0.550143116221503,-1.17453182322703,-0.838202773353819,-0.70601856836885,-0.874048019892651,-0.563672471335618,-0.721770302348034,-0.735818028754003,-0.580435947719316,-0.39767910437754,-0.907392150657672,-0.933354837468448,-0.590926935461156,-0.780639483266358,-0.874363263614826,-0.846342407554064,-0.740063504274523,-0.899903729754675,-0.709892493687832,-0.30121750363064,-0.521042267819342,-0.60369343703175,-0.339396837457341,-0.327547947112888,-0.516594017027997,-0.803801585315603,-0.909551683534259,-0.822876537991027,-0.649610941235994,-0.746585006301204,-0.468239638476785,-0.65888969843919,-0.751975640393827,-0.657491995377099,-0.944779892202364,-0.754340183275339,-0.226362660810783,-0.969738872368848,-0.664378229277757,-0.66509721919793,-0.99772233348526,-0.731765713713233,-0.600909857110251,-0.786089257646101,-0.318308312645541,-0.776302184615455,-0.956828188397577,-0.873556209521335,-0.374874671556317,-0.559594924557887,-0.70514505424998,-0.888121901634136,-0.663775939067876,-0.731758071468031,-0.140727578699774,-0.627032749155276,-0.348386331179824,-0.628565340193793,-0.727319846946759,-0.485362522478326,-0.673889058371701,-0.887359485039731,-0.749614996643984,-0.47856133373414,-0.739324737953239,-0.699610966396703,-0.519817270980901,-0.354803781058294,-0.436806377652595,-0.737760482978662,-0.642293003320878,-0.812157377845793,-0.892002957303356,-0.614242494229088,-0.830275282116216,-0.480005575735174,-0.993938178065884,-0.837065688613549,-0.754819491653119,-0.783774971796593,-0.490880684415195,-0.767867506705986,-0.356949549399501,-0.576443659737873,-0.600795075778564,-0.665219337473979,-0.681592084260301,-0.729925869173152,-0.472330299552627,-0.652657416854546,-0.99486029977861,-0.592654417304599,-0.61068072642697,-0.388034570495455,-0.286172206115458,-0.841890797981053,-0.944183365719686,-0.619526872905301,-1.08361209103055,-0.722668542439121,-0.369427187763512,-0.90030958033667,-0.744515440990206,-0.614509543525055,-0.62629548804762,-0.531527579618655
