"","x"
"1",3.96624822375387e-05
"2",4.0247957876081e-05
"3",1.25921820743458e-05
"4",1.71792733997436e-05
"5",2.45561858397622e-05
"6",1.39380979090733e-05
"7",1.3055656121864e-05
"8",2.07038125629911e-05
"9",2.00878170623339e-05
"10",5.03500175068878e-05
"11",3.74571971944909e-05
"12",4.9302527676243e-05
"13",3.26348228212316e-05
"14",2.45055536807306e-05
"15",2.90415633115193e-05
"16",2.87304147363169e-05
"17",2.62595672043105e-05
"18",1.50030407797898e-05
"19",1.02007242340347e-05
"20",5.86322666027817e-05
"21",4.91009963768172e-05
"22",3.05653576734882e-05
"23",2.38829572177647e-05
"24",2.17156851313317e-05
"25",1.97886146895948e-05
"26",2.15760636222403e-05
"27",4.78421332503792e-05
"28",1.40691985114565e-05
"29",2.16480873670919e-05
"30",3.34571945578601e-05
"31",5.19130092449779e-05
"32",3.49376596977633e-05
"33",3.59601638137871e-05
"34",1.01096708723132e-05
"35",4.65438823806311e-05
"36",1.63875174700092e-05
"37",8.5819424384093e-06
"38",4.53152376440213e-05
"39",3.09700143859579e-05
"40",3.05409050892878e-05
"41",1.5849100252259e-05
"42",3.49063340250981e-05
"43",4.36345299436736e-05
"44",2.22395770671626e-05
"45",1.46254313904553e-05
"46",1.29546704433571e-05
"47",3.72267016042838e-05
"48",1.6846406188966e-05
"49",1.37676404333013e-05
"50",4.23129961952482e-05
