"","x"
"1",0.000107086455037365
"2",0.000130985680870277
"3",0.000233043584597365
"4",0.000187323680829734
"5",4.53070362136852e-05
"6",0.000121135572430278
"7",0.000185789389154501
"8",0.00017210607967804
"9",0.000159177034202466
"10",0.000253281236015316
"11",0.000126764479272698
"12",0.000169536935995132
"13",0.000136766821292026
"14",0.000452302659776898
"15",0.0002105408144951
"16",0.000176905380724422
"17",0.000369298003839858
"18",0.000244601697696225
"19",0.000257070305899623
"20",0.000189283613374924
"21",0.00016318311123207
"22",0.00032380719325127
"23",0.000260060615084357
"24",0.000127032260030302
"25",0.000224137683511143
"26",0.000200416305865086
"27",0.000177521570757506
"28",0.000400973525385945
"29",0.000264894223255843
"30",0.000247259375332805
"31",0.000220410307903296
"32",0.000215565005766258
"33",0.000256659328021653
"34",0.000456925503107888
"35",0.000212338702613372
"36",0.000183916971532049
"37",0.000192673023204547
"38",0.000138972180664658
"39",0.000201715918723116
"40",0.000248548034793533
"41",0.000161461078318107
"42",0.000131311313323887
"43",0.000135403556750224
"44",0.000241792966161288
"45",0.000180440542553347
"46",0.000197706377778684
"47",0.000163081082662928
"48",0.000173350054744356
"49",0.000166693659861191
"50",0.00026111329599126
