"seed","dgp","dgp_r","deepgp","hetgp","time1","time_r","time2","time3"
1,0.000109248560294062,0.000100043009198767,0.000112911629562623,0.000228928962240098,16.095,14.883,202.191,0.113
2,0.000208109720590382,0.000214473340126634,0.000265275766238445,0.000351648449779685,14.327,15.052,183.685,0.0439999999999827
3,0.000186726761118704,0.000202555494590423,0.000224875826229714,0.000184645299544276,16.225,16.03,205.72,0.0739999999999839
4,0.000157589249230828,0.000152728109936299,0.000171019711925918,0.000182151680140912,14.032,13.962,217.847,0.0669999999999789
5,0.000457268670590373,0.000448512107675376,0.000432520972671505,0.000166716577921091,14.643,15.108,188.515,0.0439999999999827
6,0.000143652917912231,0.000149800648248272,0.000189266291763194,0.000159673720417775,14.467,13.965,222.938,0.0459999999999923
7,0.000335611868419585,0.000355169400154162,0.000387164606868327,0.000491676299637137,14.429,15.371,236.538,0.0749999999999886
8,0.000158598780487643,0.000178069666142274,0.000170882382724545,0.00017353039300152,14.798,15.677,195.358,0.0860000000000127
9,0.000264842853621608,0.000276021290693789,0.000244932494841797,9.50835944569335e-05,13.656,14.262,214.66,0.0799999999999841
10,0.000228700258848246,0.000226182941564347,0.000209128494667957,0.000172147588102086,15.998,14.184,214.309,0.0829999999999984
11,3.44471931199314e-05,4.18059823140692e-05,7.77232230994931e-05,9.89248403753595e-05,15.534,13.877,199.365,0.0860000000000127
12,0.000103417630678538,9.94718365073062e-05,0.000114493857390874,0.000154681553321937,14.537,14.708,181.718,0.0749999999999886
13,0.000396379019345084,0.000418190207770981,0.00048459533803775,0.000586554788760155,15.702,14.96,216.567,0.0800000000000125
14,9.82616168216323e-05,9.82732145472583e-05,9.36922230996213e-05,0.000145264293358305,14.409,15.576,189.872,0.0589999999999975
15,0.000173294476803667,0.000170195839641483,0.000206822791358233,0.000151220535873838,14.671,15.462,207.002,0.292000000000002
16,0.000128445039199381,0.000116575530966886,0.000137468133829234,0.000149034590850587,16.353,13.829,179.761,0.0829999999999984
17,0.00013739649524404,0.000160522525848947,0.000156953967609391,0.0001229512279215,15.482,15.862,192.561,0.089999999999975
18,0.000179685209186103,0.000159445798521913,0.000168466450994797,0.000121322641433952,14.716,15.564,209.028,0.085000000000008
19,0.000112292711457638,0.000132479292038573,0.000109913668113509,0.000180574276253966,14.653,15.522,186.035,0.165999999999997
20,0.000191050874804476,0.00016805708251364,0.000230091948776357,0.000292743977539692,16.096,14.362,220.726,0.0500000000000114
