"seed","dgp","dgp_r","deepgp","hetgp","time1","time_r","time2","time3"
1,0.000681030412294081,0.000689748833253444,0.000960113459041705,0.000623533890527216,15.678,15.969,185.405,0.0690000000000168
2,0.00120041196192149,0.00110896586044198,0.00129521364716207,0.00123758699637992,14.9,15.398,178.736,0.0450000000000159
3,0.000895299808927633,0.000971208745774616,0.0010184162039214,0.00121665745280977,15.096,15.43,188.916,0.173000000000002
4,0.000886164246121167,0.000472964741901619,0.00044858288597054,0.000491641120761031,14.403,14.904,186.243,0.0769999999999982
5,0.000730542354781572,0.000635133261618191,0.00068972428483956,0.000719213793517792,14.586,15.751,191.208,0.078000000000003
6,0.000501676545600836,0.000435961000544644,0.000832759056095455,0.000530645217370965,15.147,15.049,189.583,0.0799999999999841
7,0.0011436524918476,0.00114586068370137,0.000946775655811192,0.00139124794182742,14.578,15.502,186.462,0.0360000000000014
8,0.000893666256672929,0.000706034629871159,0.000640495400954374,0.000517711519881751,14.25,15.104,177.195,0.137
9,0.000698920983473302,0.000556391697416485,0.000772075894925151,0.000412087017757261,14.316,15.62,189.961,0.0689999999999884
10,0.000931946570059122,0.000777395515712804,0.000871226340367199,0.000743320049830916,14.774,15.237,186.569,0.0730000000000075
11,0.000890449801438971,0.000887878760635812,0.000624438953523294,0.000675710999787737,14.167,14.984,163.688,0.0330000000000155
12,0.00071889727466658,0.000813948229834139,0.000739836082988337,0.000711766272986934,14.892,15.444,192.886,0.137
13,0.00151543924422854,0.00166227142461702,0.00186793174937752,0.00137892869742847,14.627,15.159,177.333,0.0790000000000077
14,0.000690799364092216,0.000415713180694337,0.000821068848161511,0.000458331256224648,14.97,15.946,188.054,0.0729999999999791
15,0.000616015633427875,0.000497555821586855,0.000841627281507447,0.00053497670301405,14.366,15.507,188.639,0.221000000000004
16,0.000600104865371256,0.000485443811235758,0.000681464654054588,0.000435872043147741,14.231,14.902,180.849,0.0369999999999777
17,0.000704821414046478,0.000801035547124574,0.000888696519018612,0.000836047797294163,15.076,15.341,210.865,0.138000000000005
18,0.000681325491184839,0.000650774276796344,0.00165866510369736,0.000853491210290044,14.853,15.104,191.905,0.212999999999994
19,0.000559627950691413,0.000985815139176554,0.00118872060104936,0.000578042918407941,14.164,14.502,180.532,0.070999999999998
20,0.00107684963027308,0.00108801570105344,0.00132418675484439,0.000759063453873507,14.728,15.217,172.02,0.390999999999991
