"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dpc_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dpc_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time","dpc_time"
1,0.0017103310632579,0.00170536896852334,0.00554122862404526,0.00171353808129656,0.00184344080327505,-66.0509944434767,-71.4669536204301,61.2964088301021,-70.188737896986,-71.4109392231115,13.5239999999976,14.8610000000044,23.9890000000014,0.0529999999998836,44.9689999999973
2,0.00272968531277793,0.00279059048631712,0.00431068353444614,0.00315255436133998,0.0026047572151281,-59.104283834714,-64.2368557947935,27.1306225917556,-51.8614709286341,-62.8528724665075,13.0409999999974,12.4579999999987,22.6390000000029,0.044000000001688,45.3539999999994
3,0.00298391727408169,0.00337388705696732,0.00513975523360261,0.00362219671580231,0.00374480154804949,-59.4005250415063,-54.4242563641155,65.9614224958385,-40.9967318408558,-44.989736737753,12.8280000000013,13.1489999999976,23.8960000000006,0.0270000000018626,45.1109999999971
4,0.00169928804332484,0.00161554906553813,0.000866359820641586,0.00177739082272542,0.00130787779882842,-64.258096190899,-73.0422071669086,-83.4948919065935,-64.6504423728339,-76.9861766104903,13.8759999999966,11.9360000000015,22.1080000000002,0.0529999999998836,43.6940000000031
5,0.00263456281864529,0.00251658906816146,0.00382546966746932,0.0029755917888196,0.00311829968664647,-59.410221289746,-61.1478295056835,25.886998491935,-52.2113875908196,-57.1477419797949,14.1180000000022,12.1889999999985,23.301999999996,0.182000000000698,41.7320000000036
6,0.00151318985473222,0.00166382632552462,0.0094105698867951,0.00254527546976732,0.00232974616136872,-62.4325247228023,-70.7179027314673,197.100285469778,-58.892490695342,-65.2098454588085,13.2119999999995,12.9349999999977,24.3139999999985,0.0570000000006985,43.6140000000014
7,0.00333686505153766,0.00460102392722665,0.00496415274649811,0.00533415255086966,0.00477812407169208,-56.416729849343,-49.4605573103946,65.3404267386121,-12.3025529540064,-36.2582691575841,11.8449999999939,12.1030000000028,22.7830000000031,0.165999999997439,44.1259999999966
8,0.00156767727186169,0.00144350840931865,0.00248553264151562,0.00211253243977962,0.00170273487722913,-62.7691142077134,-73.3627939968073,-42.4589814662991,-68.6154221188533,-72.9083269051587,13.4159999999974,12.614999999998,23.7380000000048,0.0539999999964493,43.1229999999996
9,0.00162960921366013,0.00163480691100334,0.00157880300140426,0.00155017994437189,0.00174416613443229,-63.8658496779185,-71.2020480057721,-59.6810526400486,-74.4239884535072,-71.8787957249635,13.4389999999985,12.012999999999,22.9000000000015,0.0360000000000582,42.6180000000022
10,0.00317525704731891,0.00328172176178511,0.00366238856641707,0.00356308563858667,0.00319401381976155,-55.0822789884604,-56.196062414359,-1.75155752366607,-49.4387551601425,-54.2507203250435,13.9889999999941,11.6929999999993,22.958000000006,0.0459999999948195,43.4170000000013
11,0.0011719829980761,0.0012244112547348,0.0012524686198929,0.00142606407231835,0.00109538770211494,-68.0058723811368,-77.6941392930608,-71.2084986986034,-67.8061861810978,-80.9009417569604,12.9510000000009,11.6300000000047,20.9700000000012,0.0449999999982538,42.989999999998
12,0.00239274629671084,0.002471169836213,0.00233401133255729,0.00244874146430798,0.00258707628796308,-60.557230989135,-65.2488450746032,-24.5769728354566,-54.1571288551652,-60.889844551714,13.9360000000015,12.9499999999971,23.9460000000036,0.198999999993248,45.0130000000063
13,0.00332606092180414,0.00323143244507261,0.00519296323301263,0.00382256505506515,0.00305796138421372,-57.1381757236261,-57.6620754739977,34.0927158171509,-52.3442363458477,-56.2183258319372,11.9360000000015,11.5369999999966,22.2530000000042,0.0460000000020955,45.1029999999955
14,0.00125149874559443,0.00157970949344041,0.00200048903405407,0.00137027757973104,0.00148337323423811,-63.299487654745,-73.3036954135795,-47.3536906594656,-76.5526626326953,-76.0804687779242,12.8399999999965,12.7860000000001,23.1540000000023,0.0500000000029104,43.8329999999987
15,0.00167400930203314,0.00219805967074857,0.00221511038296006,0.00235565335413224,0.0020578271810385,-58.163292358635,-66.4883759758334,-47.1734406402174,-59.9744166083915,-67.3524661698193,13.9590000000026,12.4389999999985,22.851999999999,0.033000000003085,44.6729999999952
16,0.00141655919659564,0.0015214955249042,0.00272291238737361,0.0015533663304479,0.00144919827584848,-61.3350131557605,-72.3897936969862,-34.5745874719564,-67.5734740433364,-75.4444740698376,13.1100000000006,11.5589999999938,21.9809999999998,0.0500000000029104,42.6330000000016
17,0.00238615396857238,0.0031432766921273,0.00404004251498191,0.00349456605432139,0.00341038877058946,-54.1290582109672,-57.5995111785763,-8.6094783446244,-54.6241648423891,-50.5878532564007,13.5239999999976,12.5469999999987,22.8300000000017,0.0250000000014552,45.4749999999985
18,0.00224062516427489,0.00228509829773952,0.00278644020889954,0.00267148649529905,0.00285448822106571,-64.7918840730605,-64.334313755924,-0.431135515351208,-57.6519972202834,-60.0804696429517,13.5500000000029,13.2719999999972,24.4369999999981,0.033000000003085,41.760000000002
19,0.00195159943688675,0.00196055488040658,0.00228997620652705,0.00188194039394639,0.00219137879408741,-63.7120371378231,-65.073610942707,-28.174340199778,-64.9413137877365,-65.7822269909056,12.3949999999968,12.2079999999987,23.0490000000063,0.0289999999949941,44.0489999999991
20,0.00371388209960002,0.00383549698626296,0.00458652575911565,0.00385317040725792,0.00387747320662342,-54.5480493008413,-44.7782420215145,43.7975169561175,-2.47125634067091,-41.325123108769,13.1689999999944,12.6610000000001,23.0070000000051,0.0409999999974389,44.7430000000022
