"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time"
1,0.000150028906599442,0.000172947888391864,0.000113293252789981,0.000171566520808912,-101.805932139357,-126.124819974211,-122.916160905301,-115.834889793573,25.712,25.614,420.369,0.0900000000000318
3,0.00013824927759757,9.04980128100418e-05,0.000138139471698039,8.87333376984712e-05,-101.000670063795,-126.77469578031,-116.562776020104,-137.678097196812,15.378,15.146,279.771,0.0600000000000023
2,0.000379520046480427,0.000318932002005312,0.000306742255521867,0.000350164010341349,-106.384363840434,-121.737374127372,-51.8829989591857,-51.271280886369,27.443,25.472,390.668,0.109000000000037
4,0.000235727798944408,4.03171208120099e-05,5.62464128557754e-05,4.66014426746341e-05,-105.34699823604,-130.396068402445,-142.212713719478,-151.47647787379,27.31,24.595,408.049,0.0949999999999704
5,7.44826806464692e-05,5.99502360617631e-05,9.67528690106872e-05,5.54272767544509e-05,-101.722640221692,-129.028272812046,-129.136868227315,-149.100890851086,25.195,25.127,461.094,0.0939999999999372
8,0.00020020045043005,0.000162514439012846,0.000193077278122992,0.000168442695881168,-105.026401429218,-128.412374033065,-93.4449049538978,-118.749440452192,25.945,25.746,382.418,0.103999999999985
9,0.000103045593554603,8.20215393953126e-05,2.91483138703629e-05,2.97962696415402e-05,-115.316056440166,-129.879303563696,-153.492836934672,-156.65135962349,28.946,27.726,390.498,0.11099999999999
7,0.000506077664597247,7.53518392320359e-05,0.0001008407930016,6.83035397939139e-05,-92.0379545005996,-130.325020856496,-129.808917918126,-146.952035225146,26.897,27.083,399.551,0.103999999999985
6,0.000119633247371869,6.95484282851883e-05,7.11433306989713e-05,8.73370125974221e-05,-102.443436450952,-129.837747309199,-137.603947195372,-139.704162144293,25.286,24.856,418.543,0.432000000000016
10,0.000218093790958786,0.000126941701654729,0.000147852416517576,0.000134045825494076,-98.9186020454138,-125.180222249985,-112.674133871977,-132.04272395799,26.575,25.819,438.238,0.10899999999998
17,9.06684743808233e-05,7.43118977870039e-05,9.43600591787062e-05,0.000104696085329924,-94.6396092416554,-122.414145665376,-131.790691878961,-143.650087963466,15.079,14.889,311.23,0.180999999999983
11,0.000241091169328057,0.00016809276456312,0.000185457020614237,0.000148729390153952,-106.646534843299,-124.555388263722,-106.466515429607,-125.123053820898,27.621,27.55,410.966,0.442000000000007
13,0.000200173131151549,0.00011807174125033,0.000113988281880925,0.000142024531697433,-107.435589789563,-126.083409434841,-126.679086898648,-132.047034442582,27.502,25.251,420.006,0.116000000000042
15,0.000550900868497281,0.000145139855332128,0.000192658600852072,0.000167227315771479,-89.3883844398226,-122.267555343123,-110.745658105625,-124.130414724889,26.822,25.445,431.571,0.0889999999999986
16,0.000330389404025877,0.000153223528301941,6.80322543569286e-05,6.77938941543475e-05,-98.8766664774907,-121.069564804295,-138.315158899116,-135.248268704819,27.353,25.443,435.736,0.102000000000032
12,0.000107833530773622,6.36310170826615e-05,6.83280732981116e-05,7.15608077925421e-05,-102.932655160856,-128.658187759108,-138.431885029122,-129.051589492142,25.524,25.489,440.213,0.100000000000023
14,0.000474693004773673,0.000117381294508823,9.86327631080247e-05,0.000111283471599949,-98.9486383273883,-123.43353527698,-130.060394272224,-133.163376533544,26.643,24.757,453.513,0.303999999999974
19,0.000221632486562709,0.000155506867889587,0.000110336541881978,0.000116829799719416,-110.469307317406,-124.932924482024,-124.840185464055,-123.617819663402,28.245,25.031,408.553,0.105999999999995
18,0.000212733969021281,0.000128524126430578,0.000176431892006208,0.000117403382151012,-111.553664051701,-132.104310987973,-99.7175079228911,-138.876424186794,28.869,26.107,424.671,0.114000000000033
20,0.000123276965403464,6.99728397488389e-05,5.80464947344739e-05,6.93091249495602e-05,-101.047756513038,-128.785951074419,-141.218074137952,-152.088385497035,24.856,24.58,446.712,0.103999999999985
